rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,23,952,5483,5900,6427,2260,635,172,30,155
5-10%,116,4240,19986,19007,14559,4015,712,174,62,172
10-15%,125,4809,19426,18841,10643,2875,583,98,55,120
15-20%,31,1342,5513,6970,4513,1469,384,67,31,20
20-40%,0,94,892,2148,1913,1039,317,80,27,9
40-60%,0,0,0,3,19,33,22,4,0,0
60-80%,0,0,0,0,0,1,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,7.80%,8.32%,10.69%,11.16%,16.88%,19.33%,23.94%,28.91%,14.63%,32.56%
5-10%,39.32%,37.07%,38.96%,35.95%,38.24%,34.34%,26.84%,29.24%,30.24%,36.13%
10-15%,42.37%,42.05%,37.87%,35.64%,27.95%,24.59%,21.98%,16.47%,26.83%,25.21%
15-20%,10.51%,11.73%,10.75%,13.18%,11.85%,12.56%,14.47%,11.26%,15.12%,4.20%
20-40%,0.00%,0.82%,1.74%,4.06%,5.02%,8.89%,11.95%,13.45%,13.17%,1.89%
40-60%,0.00%,0.00%,0.00%,0.01%,0.05%,0.28%,0.83%,0.67%,0.00%,0.00%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,295,11437,51300,52869,38074,11692,2653,595,205,476
