rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,0,0,33,117,196,189,161,587
5-10%,0,0,2,2,55,296,229,170,22,258
10-15%,0,0,1,6,54,644,288,236,68,263
15-20%,0,0,0,2,39,187,240,106,95,176
20-40%,0,0,0,0,20,115,115,199,80,300
40-60%,0,0,0,0,0,5,1,3,2,18
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,0,0.00%,0.00%,16.42%,8.58%,18.33%,20.93%,37.62%,36.64%
5-10%,0,0,66.67%,20.00%,27.36%,21.70%,21.42%,18.83%,5.14%,16.10%
10-15%,0,0,33.33%,60.00%,26.87%,47.21%,26.94%,26.14%,15.89%,16.42%
15-20%,0,0,0.00%,20.00%,19.40%,13.71%,22.45%,11.74%,22.20%,10.99%
20-40%,0,0,0.00%,0.00%,9.95%,8.43%,10.76%,22.04%,18.69%,18.73%
40-60%,0,0,0.00%,0.00%,0.00%,0.37%,0.09%,0.33%,0.47%,1.12%
60-80%,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,0,3,10,201,1364,1069,903,428,1602
