rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,69,108,913,1776,1394,787,276,673
5-10%,0,121,299,205,961,1751,1059,319,74,256
10-15%,0,0,3,124,522,1117,537,272,62,206
15-20%,0,0,0,38,187,545,282,122,49,129
20-40%,0,0,0,9,94,200,229,131,41,256
40-60%,0,0,0,0,1,0,5,0,0,15
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,0.00%,18.60%,22.31%,34.09%,32.96%,39.76%,48.25%,54.98%,43.84%
5-10%,0,100.00%,80.59%,42.36%,35.88%,32.49%,30.21%,19.56%,14.74%,16.68%
10-15%,0,0.00%,0.81%,25.62%,19.49%,20.73%,15.32%,16.68%,12.35%,13.42%
15-20%,0,0.00%,0.00%,7.85%,6.98%,10.11%,8.04%,7.48%,9.76%,8.40%
20-40%,0,0.00%,0.00%,1.86%,3.51%,3.71%,6.53%,8.03%,8.17%,16.68%
40-60%,0,0.00%,0.00%,0.00%,0.04%,0.00%,0.14%,0.00%,0.00%,0.98%
60-80%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,121,371,484,2678,5389,3506,1631,502,1535
