rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,107,797,3100,4557,2502,860,362,870
5-10%,0,0,100,359,1181,1789,1128,456,222,418
10-15%,1,0,6,61,364,541,324,208,100,358
15-20%,0,1,0,29,106,263,169,111,50,183
20-40%,0,0,0,8,64,149,110,118,31,126
40-60%,0,0,0,0,0,0,0,0,5,8
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0.00%,0.00%,50.23%,63.56%,64.38%,62.43%,59.11%,49.06%,47.01%,44.32%
5-10%,0.00%,0.00%,46.95%,28.63%,24.53%,24.51%,26.65%,26.01%,28.83%,21.29%
10-15%,100.00%,0.00%,2.82%,4.86%,7.56%,7.41%,7.65%,11.87%,12.99%,18.24%
15-20%,0.00%,100.00%,0.00%,2.31%,2.20%,3.60%,3.99%,6.33%,6.49%,9.32%
20-40%,0.00%,0.00%,0.00%,0.64%,1.33%,2.04%,2.60%,6.73%,4.03%,6.42%
40-60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.65%,0.41%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,1,1,213,1254,4815,7299,4233,1753,770,1963
