rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,150,1326,4713,6286,3000,957,318,769
5-10%,0,4,152,583,1401,1502,872,327,98,231
10-15%,0,3,13,237,350,403,277,131,33,72
15-20%,0,0,0,40,95,215,78,51,19,57
20-40%,0,0,1,10,124,139,260,33,15,37
40-60%,0,0,0,0,0,3,1,2,0,0
60-80%,0,0,0,0,0,1,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,0.00%,47.47%,60.38%,70.52%,73.53%,66.84%,63.76%,65.84%,65.95%
5-10%,0,57.14%,48.10%,26.55%,20.96%,17.57%,19.43%,21.79%,20.29%,19.81%
10-15%,0,42.86%,4.11%,10.79%,5.24%,4.71%,6.17%,8.73%,6.83%,6.17%
15-20%,0,0.00%,0.00%,1.82%,1.42%,2.51%,1.74%,3.40%,3.93%,4.89%
20-40%,0,0.00%,0.32%,0.46%,1.86%,1.63%,5.79%,2.20%,3.11%,3.17%
40-60%,0,0.00%,0.00%,0.00%,0.00%,0.04%,0.02%,0.13%,0.00%,0.00%
60-80%,0,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
80-100%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,7,316,2196,6683,8549,4488,1501,483,1166
