rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,81,1155,4249,5748,2625,966,296,550
5-10%,0,1,263,788,1126,1773,998,335,99,287
10-15%,1,3,69,100,256,360,260,204,51,186
15-20%,0,0,36,54,114,103,210,93,81,121
20-40%,0,0,1,40,68,48,78,66,47,96
40-60%,0,0,0,0,0,0,0,0,2,3
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0.00%,0.00%,18.00%,54.05%,73.09%,71.56%,62.93%,58.05%,51.39%,44.25%
5-10%,0.00%,25.00%,58.44%,36.87%,19.37%,22.07%,23.93%,20.13%,17.19%,23.09%
10-15%,100.00%,75.00%,15.33%,4.68%,4.40%,4.48%,6.23%,12.26%,8.85%,14.96%
15-20%,0.00%,0.00%,8.00%,2.53%,1.96%,1.28%,5.03%,5.59%,14.06%,9.73%
20-40%,0.00%,0.00%,0.22%,1.87%,1.17%,0.60%,1.87%,3.97%,8.16%,7.72%
40-60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.35%,0.24%
60-80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,1,4,450,2137,5813,8032,4171,1664,576,1243
