rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,1,142,1567,5191,7107,3600,871,228,696
5-10%,0,24,133,451,1330,1770,954,419,98,289
10-15%,0,0,15,218,361,434,295,158,62,65
15-20%,0,0,11,171,185,160,167,55,26,24
20-40%,0,0,8,56,93,101,107,30,19,17
40-60%,0,0,0,0,0,0,1,0,0,0
60-80%,0,0,0,0,0,0,0,0,0,1
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,4.00%,45.95%,63.62%,72.50%,74.25%,70.26%,56.82%,52.66%,63.74%
5-10%,0,96.00%,43.04%,18.31%,18.58%,18.49%,18.62%,27.33%,22.63%,26.47%
10-15%,0,0.00%,4.85%,8.85%,5.04%,4.53%,5.76%,10.31%,14.32%,5.95%
15-20%,0,0.00%,3.56%,6.94%,2.58%,1.67%,3.26%,3.59%,6.00%,2.20%
20-40%,0,0.00%,2.59%,2.27%,1.30%,1.06%,2.09%,1.96%,4.39%,1.56%
40-60%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%
60-80%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%
80-100%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,25,309,2463,7160,9572,5124,1533,433,1092
