rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,0,2,20,354,327,221,155,678
5-10%,0,0,1,4,25,381,408,257,79,270
10-15%,0,0,5,1,22,337,505,262,134,317
15-20%,0,0,0,4,10,261,228,219,83,240
20-40%,0,0,0,0,3,97,258,228,111,229
40-60%,0,0,0,0,0,0,4,0,1,7
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,0,0.00%,18.18%,25.00%,24.76%,18.90%,18.62%,27.53%,38.94%
5-10%,0,0,16.67%,36.36%,31.25%,26.64%,23.58%,21.65%,14.03%,15.51%
10-15%,0,0,83.33%,9.09%,27.50%,23.57%,29.19%,22.07%,23.80%,18.21%
15-20%,0,0,0.00%,36.36%,12.50%,18.25%,13.18%,18.45%,14.74%,13.79%
20-40%,0,0,0.00%,0.00%,3.75%,6.78%,14.91%,19.21%,19.72%,13.15%
40-60%,0,0,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,0.18%,0.40%
60-80%,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,0,6,11,80,1430,1730,1187,563,1741
