rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,24,33,217,558,563,506,149,445
5-10%,0,0,4,35,304,926,770,425,118,232
10-15%,0,0,3,23,311,858,732,428,100,136
15-20%,0,0,0,1,95,284,412,213,65,119
20-40%,0,0,1,2,42,138,279,239,64,236
40-60%,0,0,0,0,2,0,3,3,0,22
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,0,75.00%,35.11%,22.35%,20.19%,20.41%,27.89%,30.04%,37.39%
5-10%,0,0,12.50%,37.23%,31.31%,33.50%,27.91%,23.43%,23.79%,19.50%
10-15%,0,0,9.38%,24.47%,32.03%,31.04%,26.53%,23.59%,20.16%,11.43%
15-20%,0,0,0.00%,1.06%,9.78%,10.27%,14.93%,11.74%,13.10%,10.00%
20-40%,0,0,3.12%,2.13%,4.33%,4.99%,10.11%,13.18%,12.90%,19.83%
40-60%,0,0,0.00%,0.00%,0.21%,0.00%,0.11%,0.17%,0.00%,1.85%
60-80%,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,0,32,94,971,2764,2759,1814,496,1190
