rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,1,1,32,166,137,50,17,5,25
5-10%,0,24,68,62,79,149,84,41,32,43
10-15%,0,0,47,177,105,106,44,48,45,65
15-20%,0,0,34,104,82,46,15,24,9,63
20-40%,0,0,1,38,102,33,188,13,0,6
40-60%,0,0,0,0,0,0,0,0,0,0
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,4.00%,0.66%,7.75%,31.09%,29.09%,13.12%,11.89%,5.49%,12.38%
5-10%,0,96.00%,45.03%,15.01%,14.79%,31.63%,22.05%,28.67%,35.16%,21.29%
10-15%,0,0.00%,31.13%,42.86%,19.66%,22.51%,11.55%,33.57%,49.45%,32.18%
15-20%,0,0.00%,22.52%,25.18%,15.36%,9.77%,3.94%,16.78%,9.89%,31.19%
20-40%,0,0.00%,0.66%,9.20%,19.10%,7.01%,49.34%,9.09%,0.00%,2.97%
40-60%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
60-80%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,25,151,413,534,471,381,143,91,202
