rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,0,0,2,89,213,233,76,549
5-10%,0,0,7,0,21,236,261,109,28,554
10-15%,0,0,0,0,17,217,400,104,31,367
15-20%,0,0,0,6,6,79,154,43,1,90
20-40%,0,0,0,6,1,9,167,40,2,177
40-60%,0,0,0,0,0,0,0,1,0,11
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,0,0.00%,0.00%,4.26%,14.13%,17.82%,43.96%,55.07%,31.41%
5-10%,0,0,100.00%,0.00%,44.68%,37.46%,21.84%,20.57%,20.29%,31.69%
10-15%,0,0,0.00%,0.00%,36.17%,34.44%,33.47%,19.62%,22.46%,21.00%
15-20%,0,0,0.00%,50.00%,12.77%,12.54%,12.89%,8.11%,0.72%,5.15%
20-40%,0,0,0.00%,50.00%,2.13%,1.43%,13.97%,7.55%,1.45%,10.13%
40-60%,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.63%
60-80%,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
80-100%,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
sum,0,0,7,12,47,630,1195,530,138,1748
