,0~10AA,10-20AA,20-30AA,30-40AA,40-50AA,50-60AA,60-70AA,70-80AA,80-90AA,90-100AA
0-5%,0,90,452,431,658,421,416,279,363,316
5-10%,0,124,224,485,482,557,600,884,3476,484
10-15%,0,78,204,358,487,503,729,647,4928,716
15-20%,0,73,160,278,371,408,409,406,1142,585
20-40%,0,194,573,726,1135,1070,1055,1121,1035,1160
40-60%,0,144,230,344,444,442,454,461,468,450
60-80%,0,68,72,89,109,80,76,63,59,75
80-100%,0,7,8,2,2,1,0,3,2,0
