,0-100AA,100-200AA,200-300AA,300-400AA,400-500AA,500-600AA,600-700AA,700-800AA,800-900AA,900-1000AA
0-5%,3426,1856,2291,1066,174,102,92,38,22,21
5-10%,7316,12313,2764,4611,1753,1153,1597,397,256,176
10-15%,8650,22034,6907,4192,1966,1305,852,693,432,332
15-20%,3832,15036,4182,7515,1764,1153,770,569,370,295
20-40%,8069,11472,5303,4234,3484,2485,1812,1334,985,708
40-60%,3437,4329,2014,1270,1018,879,704,523,407,324
60-80%,691,677,423,184,121,79,56,63,63,57
80-100%,25,20,5,24,2,2,0,14,1,2
